Column1,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
12010,Ryan Arcidiacono,NYK,28,190.5,88.45044,Villanova,USA,Undrafted,Undrafted,Undrafted,10,1.6,0.8,0.4,-8.2,0,0.105,0.085,0.667,0.091,2021-22
11966,Chris Silva,MIA,25,203.2,106.140528,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,10,2.6,3.6,0.7,-16.1,0.127,0.274,0.123,0.641,0.13,2021-22
12092,Trevelin Queen,HOU,25,198.12,86.18248,New Mexico State,USA,Undrafted,Undrafted,Undrafted,10,4.3,1.6,0.4,5.6,0.091,0.134,0.219,0.619,0.074,2021-22
12282,Louis King,SAC,23,200.66,92.98636,Oregon,USA,Undrafted,Undrafted,Undrafted,10,4.5,1.2,0.9,-11.9,0,0.115,0.195,0.438,0.125,2021-22
12126,Xavier Moon,LAC,27,187.96,74.84268,Morehead State,USA,Undrafted,Undrafted,Undrafted,10,5.8,1.4,2.4,1.4,0.014,0.072,0.177,0.545,0.245,2021-22
12064,Reggie Perry,POR,22,203.2,113.398,Mississippi State,USA,2020,2,57,10,9.2,4.7,1.2,-16.6,0.074,0.165,0.222,0.537,0.118,2021-22
12101,Tacko Fall,CLE,26,228.6,141.067112,UCF,Senegal,Undrafted,Undrafted,Undrafted,11,1.1,2.1,0.2,-0.8,0.115,0.271,0.124,0.398,0.048,2021-22
12246,Myles Powell,PHI,24,187.96,88.45044,Seton Hall,USA,Undrafted,Undrafted,Undrafted,11,1.2,0.5,0.3,-15.1,0.019,0.098,0.163,0.364,0.088,2021-22
11749,Devon Dotson,CHI,22,185.42,83.91452,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,0.011,0.105,0.156,0.538,0.283,2021-22
12073,Quinndary Weatherspoon,GSW,25,190.5,92.98636,Mississippi State,USA,2019,2,49,11,2.7,1.3,0.5,-8.6,0.029,0.182,0.15,0.647,0.102,2021-22
11850,Braxton Key,DET,25,203.2,102.0582,Virginia,USA,Undrafted,Undrafted,Undrafted,11,7.2,4.5,1,8,0.058,0.187,0.184,0.508,0.077,2021-22
11997,Collin Sexton,CLE,23,185.42,86.18248,Alabama,USA,2018,1,8,11,16,3.3,2.1,-5.8,0.041,0.066,0.264,0.523,0.125,2021-22
12057,Robert Woodard II,SAS,22,198.12,106.59412,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,0.086,0.146,0.158,0.207,0.086,2021-22
12130,Yves Pons,MEM,23,195.58,93.439952,Tennessee,France,Undrafted,Undrafted,Undrafted,12,1.1,1,0.1,-21.3,0.055,0.082,0.096,0.385,0.024,2021-22
12303,Marcus Garrett,MIA,23,195.58,92.98636,Kansas,USA,Undrafted,Undrafted,Undrafted,12,1.1,1.9,0.6,5.8,0.072,0.108,0.086,0.28,0.069,2021-22
11821,Isaiah Todd,WAS,20,205.74,99.336648,None,USA,2021,2,31,12,1.7,1,0.3,-15.6,0.034,0.123,0.188,0.349,0.095,2021-22
11865,Brodric Thomas,BOS,25,195.58,83.91452,Truman State,USA,Undrafted,Undrafted,Undrafted,12,1.8,0.8,0.9,3,0.034,0.103,0.172,0.52,0.239,2021-22
12096,Tim Frazier,CLE,31,182.88,77.11064,Penn State,USA,Undrafted,Undrafted,Undrafted,12,3.3,1.6,2.8,-17.5,0.024,0.066,0.137,0.398,0.254,2021-22
11812,Jabari Parker,BOS,27,200.66,111.13004,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,0.042,0.18,0.191,0.632,0.094,2021-22
12029,Sharife Cooper,ATL,21,185.42,79.832192,Auburn,USA,2021,2,48,13,0.5,0.4,0.4,-43.9,0,0.147,0.202,0.25,0.313,2021-22
12027,Solomon Hill,ATL,31,198.12,102.511792,Arizona,USA,2013,1,23,13,0.6,1.8,0.9,14.3,0.043,0.115,0.064,0.2,0.117,2021-22
12075,Petr Cornelie,DEN,26,210.82,99.79024,None,France,2016,2,53,13,1.1,1.1,0.2,5.8,0.159,0.219,0.208,0.418,0.115,2021-22
12149,Udonis Haslem,MIA,42,203.2,106.59412,Florida,USA,Undrafted,Undrafted,Undrafted,13,2.5,1.9,0.3,-9.5,0.043,0.239,0.183,0.495,0.077,2021-22
11831,Jamorko Pickett,DET,24,205.74,93.439952,Georgetown,USA,Undrafted,Undrafted,Undrafted,13,3.8,2.5,0.5,0.3,0.032,0.141,0.133,0.491,0.057,2021-22
12286,Mamadi Diakite,OKC,25,205.74,103.418976,Virginia,Guinea,Undrafted,Undrafted,Undrafted,13,4.3,4.5,0.2,-3.2,0.084,0.216,0.136,0.54,0.018,2021-22
11708,Georgios Kalaitzakis,OKC,23,200.66,87.089664,None,Greece,2021,2,60,13,6.6,1.6,0.9,-29.3,0.026,0.074,0.2,0.536,0.09,2021-22
11867,Brook Lopez,MIL,34,213.36,127.912944,Stanford,USA,2008,1,10,13,12.4,4.1,0.5,-1.4,0.058,0.108,0.211,0.57,0.03,2021-22
12070,RJ Nembhard Jr.,CLE,23,193.04,90.7184,TCU,USA,Undrafted,Undrafted,Undrafted,14,1.1,0.5,0.9,-8.4,0.042,0.056,0.16,0.38,0.343,2021-22
11860,Bol Bol,ORL,22,218.44,99.79024,Oregon,Sudan,2019,2,44,14,2.4,1.4,0.4,0.5,0.049,0.211,0.16,0.565,0.102,2021-22
11897,Abdel Nader,PHX,28,195.58,102.0582,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065,2021-22
11732,Greg Monroe,MIN,32,208.28,113.398,Georgetown,USA,2010,1,7,14,5.4,4.6,1.6,0.9,0.141,0.176,0.164,0.566,0.162,2021-22
12189,Kris Dunn,POR,28,190.5,92.98636,Providence,USA,2016,1,5,14,7.6,3.5,5.6,-12,0.027,0.12,0.176,0.482,0.339,2021-22
11801,Joe Harris,BKN,30,198.12,99.79024,Virginia,USA,2014,2,33,14,11.3,4,1,1.1,0.012,0.109,0.146,0.624,0.047,2021-22
11750,Isaac Bonga,TOR,22,203.2,81.64656,None,Germany,2018,2,39,15,0.8,0.5,0.3,-22.6,0.043,0.038,0.108,0.363,0.089,2021-22
12270,Malik Fitts,BOS,24,195.58,104.32616,None,USA,Undrafted,Undrafted,Undrafted,15,1.4,1.1,0.3,-16.3,0.033,0.185,0.139,0.553,0.125,2021-22
12277,Luke Kornet,BOS,26,218.44,113.398,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,15,2,1.9,0.6,10.4,0.118,0.142,0.112,0.506,0.108,2021-22
12261,Neemias Queta,SAC,22,213.36,112.490816,Utah State,Portugal,2021,2,39,15,3,2.1,0.4,-4.1,0.104,0.144,0.176,0.495,0.076,2021-22
11748,Devontae Cacok,SAS,25,200.66,108.86208,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,15,3.1,2.8,0.4,-1.6,0.058,0.279,0.122,0.675,0.073,2021-22
12132,Vlatko Cancar,DEN,25,203.2,107.047712,None,Slovenia,2017,2,49,15,4.1,2.1,1.1,0.8,0.041,0.133,0.131,0.657,0.139,2021-22
12239,Miye Oni,UTA,24,195.58,93.439952,Yale,USA,2019,2,58,16,0.3,0.4,0.3,-33.3,0.024,0.118,0.095,0.265,0.179,2021-22
12211,Justin Anderson,IND,28,195.58,104.779752,Virginia,USA,2015,1,21,16,6.4,2.9,2.1,-0.1,0.013,0.142,0.149,0.493,0.135,2021-22
11783,Javonte Smart,MIA,23,193.04,92.98636,Louisiana State,USA,Undrafted,Undrafted,Undrafted,17,3,1.4,0.9,-10.6,0.022,0.094,0.154,0.407,0.121,2021-22
11903,Alfonzo McKinnie,CHI,29,200.66,97.52228,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,17,3.5,1.9,0.3,-12.9,0.059,0.115,0.148,0.457,0.034,2021-22
12231,Mychal Mulder,MIA,28,190.5,88.45044,Kentucky,Canada,Undrafted,Undrafted,Undrafted,17,4.1,1.4,0.3,-10.3,0.007,0.089,0.153,0.438,0.031,2021-22
12148,Udoka Azubuike,UTA,22,213.36,122.46984,Kansas,Nigeria,2020,1,27,17,4.7,4.2,0,2,0.093,0.233,0.143,0.743,0,2021-22
12300,Markieff Morris,MIA,32,205.74,111.13004,Kansas,USA,2011,1,13,17,7.6,2.6,1.4,4.5,0.059,0.089,0.197,0.547,0.116,2021-22
12045,Patrick Williams,CHI,20,200.66,97.52228,Florida State,USA,2020,1,4,17,9,4.1,0.9,-5.5,0.04,0.132,0.139,0.637,0.051,2021-22
11780,Jay Scrubb,LAC,21,195.58,99.79024,None,USA,2020,2,55,18,2.7,0.9,0.4,6.9,0.016,0.1,0.188,0.486,0.095,2021-22
12052,P.J. Dozier,DEN,25,198.12,92.98636,South Carolina,USA,Undrafted,Undrafted,Undrafted,18,5.4,3.5,1.6,-12.9,0.038,0.144,0.147,0.463,0.135,2021-22
12301,Markelle Fultz,ORL,24,193.04,94.800728,Washington,USA,2017,1,1,18,10.8,2.7,5.5,-5.3,0.01,0.116,0.265,0.517,0.448,2021-22
11721,Haywood Highsmith,MIA,25,193.04,99.79024,Wheeling Jesuit,USA,2018,Undrafted,Undrafted,19,2.3,1.4,0.3,-8.5,0.056,0.097,0.131,0.446,0.052,2021-22
12097,Theo Pinson,DAL,26,195.58,96.161504,North Carolina,USA,Undrafted,Undrafted,Undrafted,19,2.5,1.1,0.9,-12.4,0.012,0.124,0.138,0.553,0.181,2021-22
11845,Jahmi'us Ramsey,SAC,21,190.5,86.18248,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6,0.027,0.068,0.208,0.468,0.075,2021-22
12272,Malcolm Hill,CHI,26,198.12,99.79024,Illinois,USA,Undrafted,Undrafted,Undrafted,19,3.8,1.8,0.4,-7.3,0.051,0.118,0.118,0.619,0.05,2021-22
12187,Kyle Guy,MIA,24,185.42,75.749864,Virginia,USA,2019,2,55,19,3.9,0.9,0.9,-13.6,0.02,0.069,0.182,0.526,0.149,2021-22
12190,Lindell Wigginton,MIL,24,185.42,85.728888,Iowa State,Canada,2019,Undrafted,Undrafted,19,4.2,1.3,1.2,-11.8,0.015,0.106,0.183,0.524,0.167,2021-22
